Journal,分区,Top,Open Access
20 Et 21-Revue D Histoire,4,否,否
2D Materials,3,否,否
3 Biotech,4,否,否
3C Empresa,4,否,是
3c Tecnologia,4,否,是
3C Tic,4,否,是
3D Printing and Additive Manufacturing,4,否,否
3D Printing in Medicine,3,否,是
3L-Language Linguistics Literature-The Southeast Asian Journal of English Language Studies,3,否,是
452 F-Revista de Teoria de la Literatura y Literatura Comparada,4,否,是
4OR-A Quarterly Journal of Operations Research,4,否,否
A & A Practice,4,否,否
A + U-ARCHITECTURE AND URBANISM,4,否,否
A&C-Revista de Direito Administrativo & Constitucional,4,否,否
AAA-ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK,4,否,否
AACN Advanced Critical Care,4,否,否
AAPG BULLETIN,3,否,否
AAPS Journal,3,否,否
AAPS PHARMSCITECH,4,否,否
AATCC Journal of Research,4,否,否
AATCC REVIEW,4,否,否
Ab Imperio-Studies of New Imperial History and Nationalism in the Post-Soviet Space,3,否,否
Abacus-A Journal of Accounting Finance and Business Studies,4,否,否
Abakos,4,否,是
Abanico Veterinario,4,否,否
ABCD-Arquivos Brasileiros de Cirurgia Digestiva-Brazilian Archives of Digestive Surgery,4,否,是
Abdominal Radiology,3,否,否
ABE Journal,4,否,是
ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,4,否,否
aBIOTECH,2,否,否
Aboriginal History,3,否,否
Abriu-Estudos de Textualidade do Brasil Galicia e Portugal,4,否,是
Academia y Virtualidad,4,否,是
Academia-Revista Latinoamericana de Administracion,4,否,否
ACADEMIC EMERGENCY MEDICINE,3,否,否
Academic Journal of Modern Philology,4,否,是
ACADEMIC MEDICINE,1,是,否
Academic Pathology,4,否,是
Academic Pediatrics,3,否,否
ACADEMIC PSYCHIATRY,4,否,否
ACADEMIC RADIOLOGY,2,否,否
Academy of Management Annals,1,是,否
Academy of Management Discoveries,2,否,否
ACADEMY OF MANAGEMENT JOURNAL,1,是,否
Academy of Management Learning & Education,2,否,否
Academy of Management Perspectives,2,否,否
ACADEMY OF MANAGEMENT REVIEW,1,是,否
Academy Review,4,否,是
ACADIENSIS,4,否,否
ACAROLOGIA,3,否,否
Access to Justice in Eastern Europe,4,否,是
ACCESS-Access to science business innovation in the digital economy,4,否,是
ACCIDENT ANALYSIS AND PREVENTION,1,是,否
Accion Psicologica,4,否,是
Acciones e Investigaciones Sociales,4,否,是
Accountability in Research-Ethics Integrity and Policy,2,否,否
ACCOUNTING AND BUSINESS RESEARCH,4,否,否
Accounting and Finance,4,否,否
Accounting Auditing & Accountability Journal,2,否,否
Accounting Economics and Law-A Convivium,4,否,否
Accounting Education,3,否,否
Accounting Forum,3,否,否
Accounting Historians Journal,4,否,否
Accounting History Review,4,否,否
Accounting History,4,否,否
Accounting Horizons,3,否,否
Accounting in Europe,3,否,否
ACCOUNTING ORGANIZATIONS AND SOCIETY,2,否,否
Accounting Perspectives,4,否,否
Accounting Research Journal,4,否,否
ACCOUNTING REVIEW,2,否,否
ACCOUNTS OF CHEMICAL RESEARCH,1,是,否
Accounts of Materials Research,1,是,否
ACCREDITATION AND QUALITY ASSURANCE,4,否,否
ACE-Architecture City and Environment,4,否,是
ACG Case Reports Journal,4,否,是
ACI MATERIALS JOURNAL,4,否,否
ACI STRUCTURAL JOURNAL,4,否,否
ACM Communications in Computer Algebra,4,否,否
ACM COMPUTING SURVEYS,1,是,否
ACM Journal of Data and Information Quality,4,否,否
